epoch,auc,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.8450784087181091,0.05508289113640785,0.0625,0.0010351967066526413,0.9167829155921936,0.03613701090216637,0.3333333432674408,0.002463054144755006
1,0.9422373175621033,0.0319889634847641,0.875,0.021761657670140266,0.9629721641540527,0.02558436244726181,0.9523809552192688,0.04938271641731262
2,0.9689690470695496,0.024854173883795738,0.8947368264198303,0.10559006035327911,0.9845266342163086,0.019218169152736664,0.932584285736084,0.20493827760219574
3,0.9760510325431824,0.02123059146106243,0.9190475940704346,0.19979296624660492,0.9683195948600769,0.02578839659690857,1.0,0.08128079026937485
4,0.9871557354927063,0.017377914860844612,0.9542483687400818,0.30227744579315186,0.9882663488388062,0.012873344123363495,0.9942857027053833,0.4306930601596832
5,0.9864949584007263,0.014369736425578594,0.9675173759460449,0.4334719479084015,0.9926207065582275,0.011788117699325085,0.9794871807098389,0.47160494327545166
6,0.9863369464874268,0.013073453679680824,0.9716024398803711,0.4948347210884094,0.9814590811729431,0.015063026919960976,0.988095223903656,0.4088670015335083
7,0.987679123878479,0.012128603644669056,0.9766082167625427,0.5191709995269775,0.9803400039672852,0.012416800484061241,0.9729729890823364,0.35467979311943054
8,0.9907228946685791,0.01156895887106657,0.9652014374732971,0.5438596606254578,0.995337188243866,0.010378898121416569,0.989847719669342,0.4826732575893402
9,0.9923890829086304,0.010497629642486572,0.9833333492279053,0.5542797446250916,0.9917426705360413,0.008573170751333237,0.9850746393203735,0.6518518328666687
