epoch,auc,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.732801616191864,2.5691914558410645,0.0,0.0,0.907753050327301,0.9632203578948975,0.0,0.0
1,0.9014765024185181,0.4943339228630066,1.0,0.0010460250778123736,0.972411036491394,0.2367805391550064,0.9104477763175964,0.15174129605293274
2,0.9622623324394226,0.16531598567962646,0.97826087474823,0.04658384993672371,0.9866738319396973,0.13994431495666504,0.9308176040649414,0.37185928225517273
3,0.9677450060844421,0.12249254435300827,0.95652174949646,0.09185803681612015,0.9872393012046814,0.11270101368427277,0.9729729890823364,0.36272040009498596
4,0.9698817133903503,0.10688720643520355,0.9672130942344666,0.18592436611652374,0.988901674747467,0.10220742970705032,1.0,0.02244389057159424
5,0.9725697040557861,0.0978681743144989,0.9861111044883728,0.22421053051948547,0.9912378191947937,0.09412869811058044,0.9814814925193787,0.26767677068710327
6,0.9787209630012512,0.09177571535110474,0.9683794379234314,0.2517985701560974,0.9822525978088379,0.08772885799407959,1.0,0.25621891021728516
7,0.9807625412940979,0.08599667996168137,0.9828326106071472,0.23979057371616364,0.9927146434783936,0.08478537201881409,0.9870129823684692,0.37905237078666687
8,0.96940678358078,0.08540885895490646,0.9735682606697083,0.23312236368656158,0.9939405918121338,0.0783924087882042,0.9919354915618896,0.3052109181880951
9,0.9775489568710327,0.0779949501156807,0.9915966391563416,0.24686191976070404,0.9881431460380554,0.08188845217227936,1.0,0.06783919781446457
10,0.982157826423645,0.07471146434545517,0.9656357169151306,0.2882051169872284,0.9882501363754272,0.07266203314065933,0.9806451797485352,0.3819095492362976
11,0.982611894607544,0.07206082344055176,0.9667773842811584,0.30280956625938416,0.9900058507919312,0.07521916925907135,0.9766082167625427,0.4271099865436554
12,0.9883530139923096,0.06842385232448578,0.9832869172096252,0.371188223361969,0.9716952443122864,0.0752021074295044,1.0,0.28498727083206177
13,0.9848927855491638,0.06599811464548111,0.9760638475418091,0.379917174577713,0.990795373916626,0.06479156017303467,1.0,0.1679197996854782
14,0.9813599586486816,0.06519142538309097,0.9786096215248108,0.37693101167678833,0.9895174503326416,0.06571316719055176,0.0,0.0
